0,COMO CONSIGO SUPERAR LA PARTE PRACTICA,*,*,Sacando mas de 5 en dicha parte,Nivel0.aiml
0,^ SUPERO ^ PRACTICA(S),*,*,<srai> COMO CONSIGO SUPERAR LA PARTE PRACTICA </srai>,Nivel0.aiml
0,^ APRUEBO ^ PRACTICA(S),*,*,<srai> COMO CONSIGO SUPERAR LA PARTE PRACTICA </srai>,Nivel0.aiml
0,^ APROBAR ^ PRACTICA(S),*,*,<srai> COMO CONSIGO SUPERAR LA PARTE PRACTICA </srai>,Nivel0.aiml
0,COMO SE EVALUA EN LA CONVOCATORIA ORDINARIA,*,*,La media aritmetica entre practicas y teoria,Nivel0.aiml
0,^ CALIFICA(N) ^ ORDINARIA,*,*,<srai> COMO SE EVALUA EN LA CONVOCATORIA ORDINARIA </srai>,Nivel0.aiml
0,HAY EXAMEN DE PRACTICAS EN LA CONVOCATORIA EXTRAORDINARIA,*,*,En convocatoria extraordinaria no hay examen de practicas,Nivel0.aiml
0,^ EVALUA(N) PRACTICA(S) ^ EXTRAORDINARIA,*,*,<srai> HAY EXAMEN DE PRACTICAS EN LA CONVOCATORIA EXTRAORDINARIA </srai>,Nivel0.aiml
0,^ EXAMEN ^ PRACTICA(S) ^ [EXTRAORDINARIA JULIO],*,*,<srai> HAY EXAMEN DE PRACTICAS EN LA CONVOCATORIA EXTRAORDINARIA </srai>,Nivel0.aiml
0,QUE PASA SI NO PUEDO ASISTIR A CLASE REGULARMENTE,*,*,deberias pedir la evalucion unica final,Nivel0.aiml
0,^ NO ^ [VOY ASISTO ACUDO] ^ A CLASE ^ [DIA(S) REGULARMENTE],*,*,<srai> QUE PASA SI NO PUEDO ASISTIR A CLASE REGULARMENTE </srai>,Nivel0.aiml
0,HAY NOTA MINIMA PARA APROBAR,*,*,sacar un 5 con la suma de teoria y practicas,Nivel0.aiml
0,^ MINIMO ^ PARA APROBAR ^,*,*,<srai> HAY NOTA MINIMA PARA APROBAR </srai>,Nivel0.aiml
0,^ MINIMA ^ PARA APROBAR ^,*,*,<srai> HAY NOTA MINIMA PARA APROBAR </srai>,Nivel0.aiml
0,LAS PRACTICAS SON OBLIGATORIAS,*,*,si,Nivel0.aiml
0,^ [IR ASISTIR ASISTENCIA] ^ PRACTICA(S) ^,*,*,<srai> LAS PRACTICAS SON OBLIGATORIAS </srai>,Nivel0.aiml
0,CUANTO VALE CADA PRACTICA CON RESPECTO A LA NOTA FINAL,*,*,valen el 25 por ciento cada una,Nivel0.aiml
0,^ CADA ^ PRACTICA(S),*,*,<srai> CUANTO VALE CADA PRACTICA CON RESPECTO A LA NOTA FINAL </srai>,Nivel0.aiml
0,^ [PESO VALOR PUNTUA PUNTUACION] ^ (CADA) PRACTICA,*,*,<srai> CUANTO VALE CADA PRACTICA CON RESPECTO A LA NOTA FINAL </srai>,Nivel0.aiml
